"";"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"ementas";"status";"data_ultima_tram";"ultima_acao"
"1";"PLO 9411/2020 - Projeto de Lei Ordinária";"4 De Março De 2020 ";"Jair Montes";"Arquivo - Dl - Arq-Dl";"Dispõe sobre a Carteira de Identificação Estudantil do Estado de Rondônia – CIERO e dá outra providencias.";"Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição";"7 De Abril De 2020";"Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis"
"2";"PLO 899/2020 - Projeto de Lei Ordinária";"24 De Novembro De 2020 ";"Cirone Deiró";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Dispõe sobre o prazo de validade do Laudo Médico Pericial que atesta o Transtorno do Espectro Autista - TEA.";"Proposição Distribuída Às Comissões";"1 De Dezembro De 2020";"Ás Comissões Para Emitir Parecer"
"3";"PLO 898/2020 - Projeto de Lei Ordinária";"24 De Novembro De 2020 ";"Dr Neidson";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Dispõe sobre os pontos de apoio para trabalhadores de aplicativos de entrega e de transporte individual privado de passageiros nos Municípios do Estado de Rondônia.";"Proposição Distribuída Às Comissões";"1 De Dezembro De 2020";"Ás Comissões Para Emitir Parecer"
"4";"PLO 897/2020 - Projeto de Lei Ordinária";"24 De Novembro De 2020 ";"Eyder Brasil";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Dispõe sobre a publicação, na internet, da lista de espera dos pacientes que aguardam por consultas, exames e intervenções cirúrgicas nos estabelecimentos da rede pública de saúde do Estado de Rondônia.";"Proposição Distribuída Às Comissões";"1 De Dezembro De 2020";"Ás Comissões Para Emitir Parecer"
"5";"PLO 896/2020 - Projeto de Lei Ordinária";"24 De Novembro De 2020 ";"Alex Silva";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Dispõe sobre a capacitação escolar de crianças e adolescentes para identificação e prevenção de situações de violência intrafamiliar e abuso sexual e dá outras providências.";"Proposição Distribuída Às Comissões";"1 De Dezembro De 2020";"Ás Comissões Para Emitir Parecer"
"6";"PLO 895/2020 - Projeto de Lei Ordinária";"29 De Setembro De 2020 ";"Poder Judiciário - Justiça";"Departamento Legislativo - Dl";"Dispõe sobre a obrigação das empresas públicas e privadas a manter cadastro no sistema de processo judicial eletrônico do Poder Judiciário do Estado de Rondônia, para efeito de recebimento de citações e intimações, e altera Lei nº 3.896, de 24 de Agosto de 2016 que Dispõe sobre a cobrança de custas dos serviços forenses no âmbito do Poder Judiciário do Estado de Rondônia e dá outras providências.";"Aguardando Deliberação Do Poder Executivo";"25 De Novembro De 2020";"Para Deliberação Do Poder Executivo"
"7";"PLO 894/2020 - Projeto de Lei Ordinária";"17 De Novembro De 2020 ";"Jhony Paixão";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Institui diretrizes da Campanha jovem Doador para os alunos do ensino médio das escolas públicas e privadas e para os estudantes dos estabelecimentos de ensino superior com objetivo de conscientizar sobre a importância da doação regular de sangue no âmbito do Estado de Rondônia.";"Proposição Distribuída Às Comissões";"26 De Novembro De 2020";"Ás Comissões Para Emitir Parecer"
"8";"PLO 893/2020 - Projeto de Lei Ordinária";"17 De Novembro De 2020 ";"Jhony Paixão";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Dispõe sobre a Campanha de Combate aos Golpes Financeiros praticados contra os idosos.";"Proposição Distribuída Às Comissões";"26 De Novembro De 2020";"Ás Comissões Para Emitir Parecer"
"9";"PLO 892/2020 - Projeto de Lei Ordinária";"17 De Novembro De 2020 ";"Jhony Paixão";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Obrigam os hospitais, clínicas e maternidades a fornecerem Cartilha de Orientação de Primeiros Socorros às Gestantes no âmbito do Estado de Rondônia e dá outras Providencias.";"Proposição Distribuída Às Comissões";"26 De Novembro De 2020";"Ás Comissões Para Emitir Parecer"
"10";"PLO 891/2020 - Projeto de Lei Ordinária";"17 De Novembro De 2020 ";"Jhony Paixão";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Institui o Programa de Orientação, Apoio e Atendimento aos pacientes, familiares e Cuidadores dos Portadores da Doença de Alzheimer e outras Doenças Neurodegenerativas no Estado de Rondônia e dá outras providências.";"Proposição Distribuída Às Comissões";"26 De Novembro De 2020";"Ás Comissões Para Emitir Parecer"
"11";"PLO 890/2020 - Projeto de Lei Ordinária";"17 De Novembro De 2020 ";"Tribunal De Justiça - Presidente";"Ccjr - Comissão De Constituição E Justiça E De Redação";"Autoriza o Poder Judiciário do Estado de Rondônia a realizar contratações de pessoal em regime especial por prazo determinado para atender às necessidades temporárias de excepcional interesse público, nos termos do inciso IX do artigo 37 da Constituição Federal, e dá outras providências.";"Proposição Distribuída Às Comissões";"26 De Novembro De 2020";"Ás Comissões Para Emitir Parecer"
