"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"status";"ultima_acao";"projeto";"data"
"IND 3443/2021 - Indicação";"30 De Junho De 2021 ";"Cirone Deiró";NA;NA;NA;"IND";2021-06-30
"IND 3442/2021 - Indicação";"6 De Julho De 2021 ";"Dr Neidson";NA;NA;NA;"IND";2021-07-06
"IND 3441/2021 - Indicação";"29 De Junho De 2021 ";"Cirone Deiró";NA;NA;NA;"IND";2021-06-29
"IND 3440/2021 - Indicação";"6 De Julho De 2021 ";"Jhony Paixão";NA;NA;NA;"IND";2021-07-06
"IND 3439/2021 - Indicação";"1 De Julho De 2021 ";"Alex Redano";NA;NA;NA;"IND";2021-07-01
"IND 3438/2021 - Indicação";"29 De Julho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-07-29
"IND 3437/2021 - Indicação";"29 De Junho De 2021 ";"Coletiva - Coletiva";NA;NA;NA;"IND";2021-06-29
"IND 3436/2021 - Indicação";"29 De Junho De 2021 ";"Coletiva - Coletiva";NA;NA;NA;"IND";2021-06-29
"IND 3435/2021 - Indicação";"4 De Junho De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-06-04
"IND 3434/2021 - Indicação";"4 De Junho De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-06-04
"IND 3433/2021 - Indicação";"2 De Julho De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-07-02
"IND 3432/2021 - Indicação";"2 De Julho De 2021 ";"Adelino Follador";NA;NA;NA;"IND";2021-07-02
"IND 3431/2021 - Indicação";"1 De Julho De 2021 ";"Jhony Paixão";NA;NA;NA;"IND";2021-07-01
"IND 3430/2021 - Indicação";"30 De Junho De 2021 ";"Cássia Muleta";NA;NA;NA;"IND";2021-06-30
"IND 3429/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3428/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3427/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3426/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3425/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3424/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3423/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3422/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3421/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3420/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3419/2021 - Indicação";"1 De Julho De 2021 ";"Adelino Follador";NA;NA;NA;"IND";2021-07-01
"IND 3418/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3417/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3416/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3415/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3414/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3413/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3412/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3411/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3410/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3409/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3408/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3407/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3406/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3405/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3404/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3403/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3402/2021 - Indicação";"30 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-30
"IND 3401/2021 - Indicação";"29 De Junho De 2021 ";"Jhony Paixão";NA;NA;NA;"IND";2021-06-29
"IND 3400/2021 - Indicação";"29 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-29
"IND 3399/2021 - Indicação";"29 De Junho De 2021 ";"Adelino Follador";NA;NA;NA;"IND";2021-06-29
"IND 3398/2021 - Indicação";"29 De Junho De 2021 ";"Adelino Follador";NA;NA;NA;"IND";2021-06-29
"IND 3397/2021 - Indicação";"1 De Junho De 2021 ";"Jhony Paixão";NA;NA;NA;"IND";2021-06-01
"IND 3396/2021 - Indicação";"25 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-25
"IND 3395/2021 - Indicação";"28 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-28
"IND 3394/2021 - Indicação";"23 De Junho De 2021 ";"Anderson Pereira";NA;NA;NA;"IND";2021-06-23
"IND 3393/2021 - Indicação";"23 De Junho De 2021 ";"Anderson Pereira";NA;NA;NA;"IND";2021-06-23
"IND 3392/2021 - Indicação";"22 De Junho De 2021 ";"Anderson Pereira";NA;NA;NA;"IND";2021-06-22
"IND 3391/2021 - Indicação";"16 De Junho De 2021 ";"Anderson Pereira";NA;NA;NA;"IND";2021-06-16
"IND 3390/2021 - Indicação";"13 De Maio De 2021 ";"Anderson Pereira";NA;NA;NA;"IND";2021-05-13
"IND 3389/2021 - Indicação";"25 De Junho De 2021 ";"Alex Silva";NA;NA;NA;"IND";2021-06-25
"IND 3388/2021 - Indicação";"25 De Junho De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-06-25
"IND 3387/2021 - Indicação";"23 De Junho De 2021 ";"Jhony Paixão";NA;NA;NA;"IND";2021-06-23
"IND 3386/2021 - Indicação";"1 De Março De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-03-01
"IND 3385/2021 - Indicação";"2 De Março De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-03-02
"IND 3384/2021 - Indicação";"22 De Junho De 2021 ";NA;NA;NA;NA;"IND";2021-06-22
"IND 3382/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3381/2021 - Indicação";"22 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-22
"IND 3380/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3379/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3378/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3377/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3376/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3375/2021 - Indicação";"18 De Junho De 2021 ";"Luizinho Goebel";NA;NA;NA;"IND";2021-06-18
"IND 3374/2021 - Indicação";"22 De Junho De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-06-22
"IND 3373/2021 - Indicação";"21 De Junho De 2021 ";"Jair Montes";NA;NA;NA;"IND";2021-06-21
"IND 3372/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3371/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3370/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3369/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3368/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3367/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3366/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3365/2021 - Indicação";"21 De Junho De 2021 ";"Lebrão";NA;NA;NA;"IND";2021-06-21
"IND 3364/2021 - Indicação";"21 De Junho De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-06-21
"IND 3363/2021 - Indicação";"10 De Maio De 2021 ";"Marcelo Cruz";NA;NA;NA;"IND";2021-05-10
