num_projeto	data_apresentacao	autor	localizacao_atual	status	data_ultima_tram	ultima_acao	projeto
IND 2394/2021 - Indicação	11 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2354/2021 - Indicação	26 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2353/2021 - Indicação	26 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2352/2021 - Indicação	26 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2351/2021 - Indicação	25 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2350/2021 - Indicação	26 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2349/2021 - Indicação	26 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2348/2021 - Indicação	25 De Janeiro De 2021 	Anderson Pereira	NA	NA	NA	NA	IND
IND 2347/2021 - Indicação	27 De Janeiro De 2021 	Marcelo Cruz	NA	NA	NA	NA	IND
IND 2346/2021 - Indicação	26 De Janeiro De 2021 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2345/2021 - Indicação	27 De Janeiro De 2021 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2344/2021 - Indicação	27 De Janeiro De 2021 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2343/2021 - Indicação	27 De Janeiro De 2021 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2342/2021 - Indicação	18 De Janeiro De 2021 	Jhony Paixão	NA	NA	NA	NA	IND
IND 2341/2021 - Indicação	12 De Janeiro De 2021 	Jair Montes	NA	NA	NA	NA	IND
IND 2340/2021 - Indicação	13 De Janeiro De 2021 	Alex Redano	NA	NA	NA	NA	IND
IND 2339/2021 - Indicação	13 De Janeiro De 2021 	Alex Redano	NA	NA	NA	NA	IND
IND 2338/2021 - Indicação	13 De Janeiro De 2021 	Alex Redano	NA	NA	NA	NA	IND
IND 2337/2021 - Indicação	13 De Janeiro De 2021 	Alex Redano	NA	NA	NA	NA	IND
IND 2333/2021 - Indicação	22 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2332/2021 - Indicação	15 De Dezembro De 2020 	Jhony Paixão	NA	NA	NA	NA	IND
IND 2331/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2330/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2329/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2328/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2327/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2326/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2325/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2324/2021 - Indicação	17 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2323/2021 - Indicação	21 De Dezembro De 2020 	NA	NA	NA	NA	NA	IND
IND 2322/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2321/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2320/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2319/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2318/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2317/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2316/2021 - Indicação	21 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2315/2021 - Indicação	22 De Dezembro De 2020 	Eyder Brasil	NA	NA	NA	NA	IND
IND 2314/2021 - Indicação	22 De Dezembro De 2020 	Marcelo Cruz	NA	NA	NA	NA	IND
